check,st_felix,stdb
yes,dataset_id,dataset.sharetrait_datasetid
yes,date_of_contribution,dataset.date_contribution
yes,type_of_reference,dataset.reference_type
yes,doi_dataset,dataset.doi_dataset
yes,doi_publication,manuscript.doi_manuscript
yes,comments_reference,dataset.dataset_type
yes,species_reported,population.species_reported
yes,phylum,ref_taxonomy.phylum_name
yes,class,ref_taxonomy.class_name
yes,order,ref_taxonomy.order_name
yes,family,ref_taxonomy.family_name
yes,genus,ref_taxonomy.genus_name
yes,species,ref_taxonomy.species_name
yes,source,taxonomic_label.reference_source
yes,taxo_level,ref_taxonomy.rank_level
yes,comments_taxonomy,ref.taxonomy.comment_taxonomy
yes,realm_general,site.site_realm_general
yes,realm_specific,site.site_realm_specific
yes,elevation_of_collection,site.elevation_value
yes,depth_of_collection,site.depth_value
yes,origin,occurrence.origin
yes,location_description,located_in.location_description
yes,comments_location,located_in.location_reference
yes,lat_decimal,located_in.latitude_decimal
yes,long_decimal,located_in.longitude_decimal
yes,year_of_collection_initial,occurrence.year_collection_initial
yes,year_of_collection_final,occurrence.year_collectial_final
yes,yyyymmdd_of_collection_initial,occurrence.date_iso_initial
yes,yyyymmdd_of_collection_final,occurrence.date_iso_final
yes,comments_timing,occurence.comments_time
yes,experiment_location,experiment_setup.experiment_location
yes,maintained,experiment_setup.condition_type
yes,maintenance_duration_days,condition.duration_days
yes,maintenance_duration_generations,condition.duration_generations
yes,maintenance_temperature,condition.temperature_value
yes,maintenance_photoperiod,condiition.photoperiod
yes,maintenance_humidity,condition.humidity_value
yes,maintenance_oxygen,condition.oxygen_value
yes,maintenance_carbon_dioxide,condition.carbondioxide_value
yes,trait_name,trait.trait_name
yes,maintenance_salinity,condition.salinity_value
yes,maintenance_ph,condition.pH_value
yes,maintenance_oxygen_units,condition.oxygen_unit
yes,maintenance_carbon_dioxide_units,condition.carbondioxide_value
yes,maintenance_food_type,condition.food_type
yes,acclimated,experiment_setup.condition_type
yes,acclimation_duration,condition.duration_days
yes,acclimation_temperature,condition.temperature_value
yes,acclimation_salinity,condition.salinity_value
yes,acclimation_ph,condition.pH_value
yes,acclimation_oxygen,condition.oxygen_value
yes,acclimation_carbon_dioxide,condition.carbondioxide_value
yes,acclimation_photoperiod,condiition.photoperiod
yes,acclimation_humidity,condition.humidity_value
yes,acclimation_oxygen_units,condition.oxygen_unit
yes,acclimation_carbon_dioxide_units,condition.carbondioxide_unit
yes,acclimation_food_type,condition.food_type
yes,test_temperature,condition.temperature_value
yes,test_oxygen,condition.oxygen_value
yes,test_carbon_dioxide,condition.carbondioxide_value
yes,test_oxygen_units,condition.oxygen_unit
yes,test_carbon_dioxide_units,condition.carbondioxide_unit
yes,test_photoperiod,conditoin.photoperiod
yes,test_humidity,condition.humidity_value
yes,comments_experimental_conditions,condition.comments_experiment
yes,test_food_type,condition.food_type
yes,test_salinity,condition.salinity_value
yes,test_ph,condition.pH_value
yes,strategy_of_protection,individual.strategy_of_protection
yes,sex,individual.individual_sex
yes,life_stage_general_initial,trait.life_stage_initial
yes,life_stage_general_final,trait.life_stage_final
yes,life_stage_specific_initial,measure.life_stage_specific_initial
yes,life_stage_specific_final,measure.life_stage_specific_final
yes,life_stage_general,measure.life_stage_general
yes,life_stage_specific,measure.life_stage_specific
yes,size_type,measure.size_type
yes,size_units,measure.size_unit
yes,size_value_initial,measure.size_value_initial
yes,size_value_final,measure.size_value_final
yes,size_value,measure.size_value
yes,parental_size_type,individual.parental_size_type
yes,parental_size_units,individual.parental_size_unit
yes,parental_size_value,individual.parental_size_value
yes,parental_age,individual.parental_age
yes,parental_age_units,individual.parental_age_unit
yes,mating,individual.mating_method
yes,method_type,individual.method_type
yes,fecundity_temporal_unit,individual.fecundity_temporal_unit
yes,reproductive_stage,individual.reproductive_stage
yes,offspring_developmental_stage,measure.individual_developmental_stage
yes,offspring_size_type,measure.size_type
yes,offspring_size_units,measure.size_unit
yes,offspring_size_value,measure.size_value
yes,metabolic_rate_type,respiratory_chamber.metabolic_rate_type
yes,acclimation_chamber,acclimation_specification.acclimation_chamber
yes,fasting_time,acclimation_specification.fasting_time
yes,sensor_type,respiratory_chamber.sensor_type
yes,respiration_volume,respiratory_chamber.respiration_volume
yes,delay_time,respiratory_chamber.delay_time
yes,respiratory_chamber_material,respiratory_chamber.respiratory_chamber_material
yes,incubation_time,respiratory_chamber.incubation_time
yes,respirometry_type,respiratory_chamber.respirometry_type
yes,breathing_mode,respiratory_chamber.breathing_mode
yes,trait_value,measure.trait_value
yes,trait_unit,measure.trait_unit
yes,comments_trait,measure.comment_trait
yes,trait_error_estimate,measure.trait_error_estimate
yes,trait_error_type,measure.trait_error_type
yes,sample_size,measure.sample_size
yes,trait_converted,measure.trait_converted
yes,fresh_mass_gram,measure.fresh_mass
