population_pk,population_name,population_label,population_description,species_reported,authority,population_facts,comments
TRAPOP001,dat001pop001,ind_measure,,Aphidius_platensis,,,
TRAPOP002,dat001pop002,ind_measure,,Aphidius_platensis,,,
TRAPOP003,dat001pop003,ind_measure,,Aphidius_platensis,,,
TRAPOP004,dat001pop004,ind_measure,,Aphidius_platensis,,,
TRAPOP005,dat001pop005,ind_measure,,Aphidius_platensis,,,
TRAPOP006,dat045pop006,ind_measure,,Rana_arvalis,,,
TRAPOP007,dat002pop007,ind_measure,,Rana_temporaria,,,
TRAPOP008,dat003pop008,ind_measure,,Drosophila_melanogaster,,,
TRAPOP009,dat003pop009,ind_measure,,Drosophila_melanogaster,,,
TRAPOP010,dat004pop010,ind_measure,,Pelophylax_esculentus,,,
TRAPOP011,dat005pop011,ind_measure,,Aphidius_colemani,,,
TRAPOP012,dat006pop012,ind_measure,,Lestes_viridis,,,
TRAPOP013,dat007pop013,ind_measure,,Asobara_tabida,,,
TRAPOP014,dat007pop014,ind_measure,,Leptopilina_heterotoma,,,
TRAPOP015,dat007pop015,ind_measure,,Spalangia_erythromera,,,
TRAPOP016,dat007pop016,ind_measure,,Trichopria_drosophilae,,,
TRAPOP017,dat008pop017,ind_measure,,Aphidius_ervi,,,
TRAPOP018,dat009pop018,ind_measure,,Lycaena_phlaeas,,,
TRAPOP019,dat010pop019,ind_measure,,Brachymeria_nosatoi,,,
TRAPOP020,dat010pop020,ind_measure,,Opisina_arenosella,,,
TRAPOP021,dat011pop021,ind_measure,,Aphidius_ervi,,,
TRAPOP022,dat012pop022,ind_measure,,Aphidius_matricariae,,,
TRAPOP023,dat012pop023,ind_measure,,Dysaphis_plantaginea,,,
TRAPOP024,dat013pop024,ind_measure,,Operophtera_brumata,,,
TRAPOP025,dat014pop025,ind_measure,,Aphidius_platensis,,,
TRAPOP026,dat014pop026,ind_measure,,Aphidius_platensis,,,
TRAPOP027,dat014pop027,ind_measure,,Aphidius_platensis,,,
TRAPOP028,dat014pop028,ind_measure,,Aphidius_platensis,,,
TRAPOP029,dat014pop029,ind_measure,,Aphidius_platensis,,,
TRAPOP030,dat015pop030,ind_measure,,Petrolisthes_laevigatus,,,
TRAPOP031,dat016pop031,ind_measure,,Lymnaea_stagnalis,,,
TRAPOP032,dat017pop032,ind_measure,,Aphidius_colemani,,,
TRAPOP033,dat018pop033,ind_measure,,Aphidius_colemani,,,
TRAPOP034,dat019pop034,ind_measure,,Copidosoma_koehleri,,,
TRAPOP035,dat020pop035,ind_measure,,Trechnites_insidiosus,,,
TRAPOP036,dat021pop036,ind_measure,,Asobara_tabida,,,
TRAPOP037,dat021pop037,ind_measure,,Leptopilina_heterotoma,,,
TRAPOP038,dat021pop038,ind_measure,,Spalangia_erythromera,,,
TRAPOP039,dat021pop039,ind_measure,,Trichopria_drosophilae,,,
TRAPOP040,dat022pop040,ind_measure,,Drosophila_subobscura,,,
TRAPOP041,dat023pop041,ind_measure,,Lithodes_santolla,,,
TRAPOP042,dat023pop042,ind_measure,,Lithodes_santolla,,,
TRAPOP043,dat023pop043,ind_measure,,Lithodes_santolla,,,
TRAPOP044,dat023pop044,ind_measure,,Lithodes_santolla,,,
TRAPOP045,dat023pop045,ind_measure,,Lithodes_santolla,,,
TRAPOP046,dat023pop046,ind_measure,,Lithodes_santolla,,,
TRAPOP047,dat023pop047,ind_measure,,Lithodes_santolla,,,
TRAPOP048,dat023pop048,ind_measure,,Lithodes_santolla,,,
TRAPOP049,dat023pop049,ind_measure,,Lithodes_santolla,,,
TRAPOP050,dat023pop050,ind_measure,,Lithodes_santolla,,,
TRAPOP051,dat023pop051,ind_measure,,Lithodes_santolla,,,
TRAPOP052,dat023pop052,ind_measure,,Lithodes_santolla,,,
TRAPOP053,dat023pop053,ind_measure,,Lithodes_santolla,,,
TRAPOP054,dat023pop054,ind_measure,,Lithodes_santolla,,,
TRAPOP055,dat023pop055,ind_measure,,Lithodes_santolla,,,
TRAPOP056,dat023pop056,ind_measure,,Lithodes_santolla,,,
TRAPOP057,dat024pop057,ind_measure,,Aphidius_ervi,,,
TRAPOP058,dat025pop058,ind_measure,,Dysaphis_plantaginea,,,
TRAPOP059,dat026pop059,ind_measure,,Gryllus_bimaculatus,,,
TRAPOP060,dat027pop060,ind_measure,,Gryllus_campestris,,,
TRAPOP061,dat028pop061,ind_measure,,Danio_rerio,,,
TRAPOP062,dat029pop062,ind_measure,,Drosophila melanogaster,,,
TRAPOP063,dat029pop063,ind_measure,,Drosophila melanogaster,,,
TRAPOP064,dat030pop064,ind_measure,,Bidyanus_bidyanus,,,
TRAPOP065,dat031pop065,ind_measure,,Leiopotherapon_unicolor,,,
TRAPOP066,dat032pop066,ind_measure,,Pelophylax_esculentus,,,
TRAPOP067,dat033pop067,ind_measure,,Danio_rerio,,,
TRAPOP068,dat034pop068,ind_measure,,Asobara_tabida,,,
TRAPOP069,dat034pop069,ind_measure,,Leptopilina_heterotoma,,,
TRAPOP070,dat034pop070,ind_measure,,Spalangia_erythromera,,,
TRAPOP071,dat034pop071,ind_measure,,Trichopria_drosophilae,,,
TRAPOP072,dat035pop072,ind_measure,,Neotrypaea_uncinata,,,
TRAPOP073,dat036pop073,ind_measure,,Neotrypaea_uncinata,,,
TRAPOP074,dat037pop074,ind_measure,,Petrolisthes_laevigatus,,,
TRAPOP075,dat038pop075,ind_measure,,Drosophila_subobscura,,,
TRAPOP076,dat039pop076,ind_measure,,Gammarus_insensibilis,,,
TRAPOP077,dat039pop077,ind_measure,,Gammarus_insensibilis,,,
TRAPOP078,dat039pop078,ind_measure,,Gammarus_insensibilis,,,
TRAPOP079,dat040pop079,ind_measure,,Danio_rerio,,,
TRAPOP080,dat041pop080,ind_measure,,Ilyocorus_cimicoides,,,
TRAPOP081,dat041pop081,ind_measure,,Aphelocheirus_aestivalis,,,
TRAPOP082,dat042pop082,ind_measure,,Liopholis_striata,,,
TRAPOP083,dat042pop083,ind_measure,,Liopholis_inornata,,,
TRAPOP084,dat043pop084,ind_measure,,Litoria_caerulea,,,
TRAPOP085,dat044pop085,ind_measure,,Danio_rerio,,,
